recipe_id,recipe_name,cuisine,category,spice_level,meal_type,is_vegetarian,is_vegan,is_gluten_free,is_halal,rating,calories,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_a_percent,vitamin_c_percent,calcium_percent,iron_percent,suitable_diabetes,suitable_hypertension,suitable_heart_disease,suitable_kidney_disease,suitable_acne,calorie_tier,compatible_omnivore,compatible_vegetarian,compatible_vegan,compatible_pescatarian,score_weight_loss,score_weight_gain,score_muscle_gain,score_maintain,cal_match_breakfast,cal_match_lunch,cal_match_dinner,cal_match_snack
RCP01013,Alur Chop,Bangladeshi,Appetizers,Very Hot,Snack,0,0,1,1,4.2,184.0,9.9,22.4,10.2,2.1,8.1,760.0,27.0,28,11,14,5,1,1,0,0,1,very_low,1,0,0,0,0.5888,0.1975,0.2041,0.2742,1,0,0,1
RCP01014,Qorma,Afghan,Main Course,Very Hot,Lunch,1,1,0,1,3.9,610.0,37.8,25.6,11.4,6.0,7.9,808.0,96.0,31,34,8,21,0,0,0,0,1,high,1,1,1,1,0.4466,0.6963,0.7266,0.7213,0,1,0,0
RCP01015,Lemon Herb Rice,Western,Rice Dishes,Very Hot,Dinner,0,0,0,1,3.6,559.0,21.3,58.7,12.2,7.5,1.2,441.0,26.0,25,31,14,10,0,1,1,0,1,high,1,0,0,0,0.4973,0.5269,0.5324,0.6278,0,1,1,0
RCP01016,Protein Shake,Western,Beverages,Mild,Snack,1,0,0,0,5.0,137.0,3.7,28.7,0.8,0.1,25.1,156.0,9.0,25,35,19,4,0,1,1,1,0,very_low,1,1,0,1,0.6287,0.1165,0.1153,0.1308,0,0,0,1
RCP01017,Beef Steak,Western,Main Course,Hot,Lunch,0,0,0,0,3.8,424.0,32.9,37.4,17.6,8.0,6.9,499.0,52.0,2,37,33,15,1,1,1,0,1,medium,1,0,0,0,0.5424,0.5392,0.5713,0.8117,0,1,1,0
RCP01018,Jeera Rice,Indian,Rice Dishes,Very Hot,Lunch,0,0,1,1,4.5,572.0,21.8,70.7,9.2,5.9,7.4,321.0,32.0,15,27,11,11,0,1,1,0,1,high,1,0,0,0,0.4768,0.5392,0.5449,0.5842,0,1,1,0
RCP01019,Masala Shakshuka,Fusion,Modern Fusion,Medium,Dinner,0,0,0,0,4.5,328.0,21.5,29.0,18.0,9.0,6.3,293.0,29.0,31,17,20,29,1,1,1,0,1,low,1,0,0,0,0.608,0.3842,0.4024,0.6587,1,1,1,0
RCP01020,Muri Ghonto,Bangladeshi,Snacks,Mild,Snack,1,1,0,1,4.3,152.0,9.3,34.4,4.0,2.8,10.8,499.0,21.0,3,10,22,30,0,1,1,1,1,very_low,1,1,1,1,0.656,0.1725,0.1799,0.2643,1,0,0,1
RCP01021,Kabuli Pulao,Afghan,Rice Dishes,Medium,Lunch,0,0,0,1,4.5,579.0,28.7,46.1,23.5,7.9,3.4,692.0,61.0,35,11,34,9,0,1,0,0,0,high,1,0,0,0,0.4275,0.601,0.6179,0.6985,0,1,1,0
RCP01022,Masala Dosa,Indian,Street Food,Very Hot,Lunch,0,0,0,1,4.1,518.0,26.6,56.3,25.5,4.3,11.4,1071.0,39.0,27,3,15,17,0,0,0,0,0,high,1,0,0,0,0.374,0.5454,0.562,0.6282,0,1,1,0
RCP01023,Lamb Kebab,Afghan,Main Course,Very Hot,Lunch,0,0,0,1,3.7,486.0,31.9,39.7,16.1,5.4,3.8,755.0,52.0,37,11,25,36,1,1,0,0,1,medium,1,0,0,0,0.4684,0.5696,0.5967,0.73,0,1,1,0
RCP01024,Coconut Water,Bangladeshi,Beverages,Medium,Snack,1,1,0,1,4.8,218.0,5.1,22.7,6.1,2.8,26.0,38.0,20.0,36,6,7,4,0,1,1,1,0,low,1,1,1,1,0.6104,0.1788,0.1756,0.2663,1,0,0,1
RCP01025,Dahi Puri,Pakistani,Appetizers,Hot,Snack,0,0,0,1,4.1,288.0,14.6,46.5,10.0,7.5,4.4,771.0,46.0,11,35,17,33,1,1,0,0,1,low,1,0,0,0,0.646,0.3017,0.3106,0.5255,1,0,1,1
RCP01026,Kacchi Biryani,Bangladeshi,Rice Dishes,Very Hot,Dinner,0,0,0,1,3.9,486.0,22.7,61.3,22.0,6.6,2.4,591.0,61.0,4,9,17,23,1,1,0,0,0,medium,1,0,0,0,0.457,0.4929,0.5047,0.668,0,1,1,0
RCP01027,Lassi,Pakistani,Beverages,Hot,Breakfast,1,0,0,1,4.7,166.0,6.2,5.3,5.6,0.3,32.9,54.0,24.0,8,30,30,17,0,1,1,1,0,very_low,1,1,0,1,0.5894,0.1554,0.1569,0.1802,1,0,0,1
RCP01028,Chicken Biryani Dhaka Style,Bangladeshi,Rice Dishes,Hot,Dinner,0,0,0,1,4.1,450.0,33.0,67.8,24.6,2.1,4.4,613.0,37.0,20,21,4,23,1,1,0,0,0,medium,1,0,0,0,0.3694,0.5563,0.5871,0.6825,0,1,1,0
RCP01029,Rui Maach Jhol,Bangladeshi,Fish Dishes,Mild,Dinner,0,0,0,1,4.2,388.0,27.5,8.1,12.9,1.0,5.0,772.0,63.0,32,9,24,28,1,1,0,0,1,medium,1,0,0,1,0.4486,0.4717,0.4967,0.5587,1,1,1,0
RCP01030,Grilled Salmon,Western,Fish Dishes,Hot,Lunch,0,0,0,0,3.9,252.0,41.1,18.8,16.8,3.6,1.7,374.0,122.0,37,47,13,18,1,1,1,1,1,low,1,0,0,1,0.5452,0.5,0.555,0.658,1,0,1,1
RCP01031,Shorshe Ilish,Bangladeshi,Fish Dishes,Mild,Lunch,0,0,0,1,4.1,224.0,34.6,16.6,4.2,4.9,2.1,321.0,64.0,27,25,22,9,1,1,1,1,1,low,1,0,0,1,0.6608,0.4283,0.474,0.6178,1,0,0,1
RCP01032,Tandoori Pasta,Fusion,Main Course,Very Hot,Lunch,0,0,0,0,4.3,423.0,38.1,39.8,33.2,5.6,5.2,530.0,63.0,20,2,18,29,1,1,0,0,0,medium,1,0,0,0,0.4013,0.5819,0.6227,0.803,0,1,1,0
RCP01033,Kimchi Quesadilla,Fusion,Modern Fusion,Very Hot,Dinner,0,0,0,0,4.6,498.0,17.6,23.9,16.9,8.6,10.0,575.0,79.0,35,39,4,30,1,1,1,0,1,medium,1,0,0,0,0.5216,0.4579,0.4606,0.659,0,1,1,0
RCP01034,Labneh Dip,Fusion,Snacks,Mild,Snack,1,0,1,0,4.9,145.0,10.9,25.3,6.4,4.4,6.1,101.0,27.0,7,32,21,16,1,1,1,1,1,very_low,1,1,0,1,0.6771,0.1815,0.1919,0.3157,0,0,0,1
RCP01035,Coleslaw,Western,Appetizers,Medium,Lunch,0,0,0,0,4.0,326.0,8.3,46.0,5.9,5.9,11.2,340.0,37.0,10,37,26,26,0,1,1,0,1,low,1,0,0,0,0.6196,0.2729,0.2693,0.4478,1,1,1,0
RCP01036,Egg Curry,Indian,Main Course,Very Hot,Dinner,0,0,1,1,3.7,393.0,48.3,51.4,18.3,3.8,2.6,797.0,68.0,26,27,14,6,1,1,0,0,1,medium,1,0,0,0,0.4697,0.6481,0.7076,0.757,1,1,1,0
RCP01037,Sushi Burrito,Fusion,Modern Fusion,Very Hot,Dinner,0,0,0,0,3.7,496.0,34.1,39.2,12.6,8.9,9.9,709.0,57.0,15,39,13,12,1,1,0,0,1,medium,1,0,0,0,0.5544,0.5942,0.6244,0.8328,0,1,1,0
RCP01038,Naan,Bangladeshi,Bread,Mild,Breakfast,1,1,1,1,4.5,319.0,11.5,38.6,12.4,4.4,7.9,395.0,14.0,14,42,18,28,1,1,1,1,1,low,1,1,1,1,0.5541,0.2952,0.2973,0.4377,1,1,1,0
RCP01039,Chapli Kebab,Afghan,Street Food,Very Hot,Lunch,0,0,0,1,4.8,304.0,14.7,37.8,11.6,2.5,3.5,829.0,47.0,35,33,33,11,1,0,0,0,1,low,1,0,0,0,0.5284,0.3125,0.3207,0.4122,1,1,1,0
RCP01040,Afghan Naan,Afghan,Bread,Hot,Breakfast,1,0,1,1,3.5,195.0,6.3,54.1,17.4,3.0,3.4,211.0,3.0,8,49,14,34,1,1,1,1,1,very_low,1,1,0,1,0.5581,0.1744,0.1744,0.268,1,0,0,1
RCP01041,Curd Rice,Indian,Rice Dishes,Very Hot,Dinner,0,0,0,1,4.9,338.0,16.0,61.2,10.9,4.9,3.1,752.0,30.0,35,41,17,12,1,1,0,0,1,low,1,0,0,0,0.5636,0.3446,0.3531,0.5078,1,1,1,0
RCP01042,Fruit Salad,Western,Desserts,Very Hot,Snack,1,0,0,1,4.9,108.0,6.3,38.7,9.3,2.6,30.8,208.0,74.0,22,21,10,33,0,1,1,1,0,very_low,1,1,0,1,0.6422,0.12,0.1247,0.2,0,0,0,1
RCP01043,Green Tea,Bangladeshi,Beverages,Mild,Snack,1,0,1,1,3.9,67.0,3.7,13.3,1.9,0.6,8.8,170.0,7.0,2,3,23,33,1,1,1,1,1,very_low,1,1,0,1,0.6671,0.0727,0.0753,0.0967,0,0,0,0
RCP01044,Bolani Roll,Afghan,Street Food,Medium,Lunch,1,0,0,1,3.9,335.0,17.5,33.5,27.8,3.2,13.8,501.0,61.0,30,34,30,24,0,1,0,1,0,low,1,1,0,1,0.4297,0.3552,0.3664,0.4783,1,1,1,0
RCP01045,Parota,Bangladeshi,Bread,Medium,Breakfast,1,0,1,1,3.8,249.0,7.9,34.0,17.5,2.6,6.1,591.0,12.0,10,37,34,37,1,1,1,1,1,low,1,1,0,1,0.5225,0.2215,0.2213,0.31,1,0,0,1
RCP01046,Iced Coffee,Western,Beverages,Medium,Breakfast,1,0,0,0,3.8,41.0,2.1,14.1,1.4,0.5,5.8,167.0,15.0,40,21,6,31,1,1,1,1,1,very_low,1,1,0,1,0.6811,0.0431,0.0444,0.0608,0,0,0,0
RCP01047,Masala Fries,Fusion,Street Food,Medium,Lunch,0,0,0,1,4.7,440.0,11.2,42.2,20.0,6.1,9.1,454.0,36.0,4,46,26,31,1,1,0,0,1,medium,1,0,0,0,0.482,0.3683,0.3634,0.5578,0,1,1,0
RCP01048,Churros with Dip,Fusion,Desserts,Mild,Snack,1,0,0,0,3.6,129.0,2.8,51.1,22.3,2.7,36.1,370.0,73.0,2,4,14,39,0,1,0,1,0,very_low,1,1,0,1,0.5557,0.104,0.1017,0.1815,0,0,0,1
RCP01049,Sourdough Slice,Western,Bread,Very Hot,Breakfast,1,1,0,1,4.5,209.0,13.2,47.8,12.4,3.7,4.3,325.0,12.0,12,8,19,35,1,1,1,1,1,low,1,1,1,1,0.5951,0.2406,0.2514,0.3638,1,0,0,1
RCP01050,Mixed Nuts,Western,Snacks,Medium,Breakfast,1,0,0,0,4.5,256.0,3.9,23.1,11.6,3.9,15.9,270.0,18.0,31,26,35,10,0,1,1,1,0,low,1,1,0,1,0.5804,0.1925,0.1853,0.3072,1,0,1,1
RCP01051,Kimchi Fried Rice,Fusion,Rice Dishes,Very Hot,Dinner,0,0,0,0,4.9,315.0,12.6,55.7,10.6,7.8,6.2,620.0,53.0,36,19,26,12,1,1,1,0,1,low,1,0,0,0,0.6349,0.3019,0.306,0.531,1,1,1,0
RCP01052,Baked Tilapia,Western,Fish Dishes,Medium,Dinner,0,0,0,0,4.2,237.0,34.2,14.0,19.6,2.6,1.8,682.0,109.0,21,47,11,40,1,1,0,0,1,low,1,0,0,1,0.5159,0.4331,0.4774,0.565,1,0,0,1
RCP01053,Bombay Fish Fry,Indian,Fish Dishes,Very Hot,Lunch,0,0,0,1,3.8,458.0,41.5,20.1,5.5,2.7,3.6,481.0,110.0,38,35,23,5,1,1,1,1,1,medium,1,0,0,1,0.492,0.6321,0.6767,0.7622,0,1,1,0
RCP01054,Chicken Shawarma,Fusion,Street Food,Medium,Lunch,0,0,0,0,4.9,287.0,25.1,58.1,13.1,3.3,9.7,905.0,74.0,38,42,8,34,1,0,0,0,1,low,1,0,0,0,0.5439,0.3885,0.415,0.5248,1,0,1,1
RCP01055,Mango Lassi,Indian,Beverages,Medium,Breakfast,1,1,0,1,3.5,139.0,3.1,16.6,0.4,1.4,7.7,94.0,3.0,23,16,32,31,1,1,1,1,1,very_low,1,1,1,1,0.6561,0.1127,0.1104,0.1587,0,0,0,1
RCP01056,Jalebi,Indian,Desserts,Medium,Snack,1,1,0,1,4.2,164.0,7.2,33.7,14.2,1.8,17.6,242.0,44.0,30,27,3,25,0,1,1,1,0,very_low,1,1,1,1,0.5688,0.1625,0.1657,0.2263,1,0,0,1
RCP01057,Avocado Chaat,Fusion,Appetizers,Hot,Lunch,0,0,0,0,4.7,384.0,16.8,28.2,18.1,6.1,7.9,487.0,58.0,34,24,18,35,1,1,0,0,1,medium,1,0,0,0,0.5214,0.38,0.3874,0.5765,1,1,1,0
RCP01058,Zarda,Pakistani,Desserts,Very Hot,Snack,1,0,1,1,4.7,228.0,7.4,36.6,11.0,4.0,30.7,298.0,58.0,8,50,35,31,0,1,1,1,0,low,1,1,0,1,0.6,0.2042,0.2043,0.326,1,0,0,1
RCP01059,Chicken Biryani,Pakistani,Rice Dishes,Hot,Lunch,0,0,1,1,4.2,518.0,23.2,75.5,7.2,4.1,1.3,572.0,36.0,7,28,8,30,0,1,1,1,1,high,1,0,0,0,0.4798,0.5171,0.528,0.5892,0,1,1,0
RCP01060,Gyros Wrap,Fusion,Street Food,Hot,Lunch,1,0,0,1,4.9,371.0,23.9,31.8,9.6,6.4,11.2,546.0,28.0,26,35,12,24,0,1,1,0,1,medium,1,1,0,1,0.5849,0.431,0.451,0.6463,1,1,1,0
RCP01061,Coconut Rice,Fusion,Rice Dishes,Very Hot,Lunch,0,0,0,0,3.6,493.0,14.0,78.8,20.1,6.8,5.7,394.0,35.0,28,7,21,36,1,1,0,0,0,medium,1,0,0,0,0.4689,0.4248,0.4217,0.5813,0,1,1,0
RCP01062,Polao,Bangladeshi,Rice Dishes,Hot,Dinner,0,0,0,1,4.9,490.0,17.0,62.0,22.0,6.3,6.6,726.0,74.0,17,2,35,11,1,1,0,0,0,medium,1,0,0,0,0.449,0.4479,0.45,0.6008,0,1,1,0
RCP01063,Chicken Tikka Roll,Pakistani,Street Food,Very Hot,Lunch,0,0,0,1,4.1,345.0,15.2,41.0,25.2,3.9,5.5,696.0,65.0,36,20,31,33,1,1,0,0,0,low,1,0,0,0,0.4543,0.3423,0.3491,0.4795,1,1,1,0
RCP01064,Hakka Noodles,Indian,Indo-Chinese,Medium,Lunch,1,0,0,1,3.9,351.0,10.6,44.2,22.3,2.2,14.2,910.0,29.0,20,16,10,12,0,0,0,0,0,medium,1,1,0,1,0.4347,0.3077,0.3066,0.395,1,1,1,0
RCP01065,Chicken Rezala,Bangladeshi,Main Course,Hot,Dinner,0,0,1,1,4.1,407.0,45.5,25.7,33.3,4.6,4.6,643.0,77.0,33,16,29,13,1,1,0,0,0,medium,1,0,0,0,0.3887,0.6335,0.6876,0.7863,0,1,1,0
RCP01066,Bruschetta Mix,Fusion,Snacks,Mild,Breakfast,1,0,1,1,4.5,278.0,7.1,23.9,11.8,1.1,9.9,157.0,31.0,5,4,14,40,1,1,1,1,1,low,1,1,0,1,0.5122,0.2329,0.2299,0.2838,1,0,1,1
RCP01067,Tuna Steak,Western,Fish Dishes,Mild,Dinner,1,0,1,1,4.5,237.0,46.9,15.2,13.7,1.2,2.3,444.0,116.0,20,22,30,25,1,1,1,1,1,low,1,1,0,1,0.5233,0.539,0.6044,0.588,1,0,0,1
RCP01068,Apple Slices with PB,Western,Snacks,Mild,Snack,1,0,0,1,4.1,180.0,9.1,14.9,2.7,2.8,7.2,384.0,23.0,16,42,13,19,1,1,1,1,1,very_low,1,1,0,1,0.6498,0.1883,0.1939,0.281,1,0,0,1
RCP01069,Granola Bar,Western,Snacks,Hot,Snack,1,0,0,0,3.7,168.0,4.2,30.1,4.3,1.7,6.8,342.0,19.0,27,43,15,39,1,1,1,1,1,very_low,1,1,0,1,0.6242,0.14,0.138,0.1965,1,0,0,1
RCP01070,Chingri Malai Curry,Bangladeshi,Fish Dishes,Mild,Dinner,0,0,0,1,4.7,332.0,33.9,20.6,13.9,4.2,5.8,424.0,96.0,31,20,7,10,1,1,1,1,1,low,1,0,0,1,0.5346,0.49,0.5287,0.6653,1,1,1,0
RCP01071,Halwa,Afghan,Desserts,Mild,Snack,1,0,0,1,3.9,287.0,5.7,43.9,13.7,3.2,22.8,129.0,30.0,25,27,20,31,0,1,1,1,0,low,1,1,0,1,0.5383,0.2269,0.221,0.3283,1,0,1,1
RCP01072,Sambosa,Afghan,Appetizers,Mild,Lunch,1,0,0,1,4.6,407.0,11.8,32.7,17.6,4.2,7.8,212.0,35.0,3,31,4,6,1,1,1,1,1,medium,1,1,0,1,0.4749,0.3527,0.3506,0.4943,0,1,1,0
RCP01073,Fuchka,Bangladeshi,Street Food,Mild,Lunch,0,0,0,1,3.7,471.0,22.6,36.6,13.7,4.1,7.2,649.0,87.0,15,32,4,14,1,1,1,0,1,medium,1,0,0,0,0.4643,0.4827,0.4951,0.6145,0,1,1,0
RCP01074,Whole Wheat Toast,Western,Bread,Very Hot,Breakfast,1,0,0,0,4.4,199.0,11.2,42.5,17.4,5.0,5.5,244.0,21.0,4,9,8,40,1,1,1,1,1,very_low,1,1,0,1,0.5961,0.2177,0.2257,0.3697,1,0,0,1
RCP01075,Bhel Puri,Indian,Street Food,Hot,Lunch,0,0,0,1,4.5,484.0,17.9,55.2,23.9,4.2,14.8,911.0,63.0,34,41,11,5,0,0,0,0,0,medium,1,0,0,0,0.3986,0.4517,0.4556,0.5613,0,1,1,0
RCP01076,Roasted Nuts,Afghan,Snacks,Medium,Snack,1,0,0,1,4.2,206.0,4.1,10.2,8.0,5.1,16.4,502.0,13.0,18,19,31,27,0,1,1,0,0,low,1,1,0,1,0.651,0.1629,0.1587,0.3058,1,0,0,1
RCP01077,Hilsa Curry,Bangladeshi,Main Course,Mild,Dinner,0,0,0,1,3.6,577.0,44.9,45.7,32.0,6.1,8.4,1191.0,104.0,7,10,7,36,0,0,0,0,0,high,1,0,0,0,0.3415,0.7348,0.7787,0.7678,0,1,1,0
RCP01078,Bolani,Afghan,Appetizers,Hot,Lunch,0,0,0,1,4.9,154.0,7.1,43.8,20.0,7.8,4.1,549.0,29.0,23,36,32,30,1,1,0,0,1,very_low,1,0,0,0,0.659,0.1554,0.159,0.3687,1,0,0,1
RCP01079,Fried River Fish,Afghan,Fish Dishes,Mild,Dinner,0,0,0,1,4.9,307.0,29.9,5.5,16.5,3.9,1.9,336.0,115.0,19,31,3,8,1,1,1,1,1,low,1,0,0,1,0.5255,0.441,0.4744,0.6012,1,1,1,0
RCP01080,Potato Bourani,Afghan,Appetizers,Mild,Snack,1,0,0,1,4.1,261.0,14.5,13.4,10.1,4.1,8.9,392.0,16.0,22,39,20,24,1,1,1,1,1,low,1,1,0,1,0.5909,0.284,0.2941,0.4215,1,0,1,1
RCP01081,Roasted Channa,Pakistani,Snacks,Mild,Breakfast,1,0,0,1,4.0,139.0,2.7,33.6,5.5,2.9,16.1,269.0,4.0,10,30,30,27,0,1,1,1,0,very_low,1,1,0,1,0.6555,0.1094,0.1064,0.1922,0,0,0,1
RCP01082,Crispy Corn,Fusion,Indo-Chinese,Very Hot,Lunch,1,0,1,0,4.7,537.0,19.0,43.7,13.4,4.9,16.7,994.0,43.0,5,2,21,11,0,0,0,0,0,high,1,1,0,1,0.4491,0.494,0.4969,0.5545,0,1,1,0
RCP01083,Beguni,Bangladeshi,Appetizers,Hot,Lunch,0,0,0,1,4.8,264.0,21.4,18.0,21.8,7.0,4.7,298.0,54.0,20,25,14,4,1,1,0,0,0,low,1,0,0,0,0.5772,0.3433,0.3649,0.565,1,0,1,1
RCP01084,Shingara,Bangladeshi,Appetizers,Hot,Snack,0,0,1,1,3.7,136.0,12.7,32.5,20.7,5.6,4.6,751.0,64.0,25,25,19,13,1,1,0,0,0,very_low,1,0,0,0,0.6198,0.1908,0.2047,0.3577,0,0,0,1
RCP01085,Aam Pora Shorbot,Bangladeshi,Beverages,Hot,Breakfast,1,0,1,1,4.0,169.0,2.7,10.1,2.9,1.5,5.5,120.0,7.0,40,41,24,39,1,1,1,1,1,very_low,1,1,0,1,0.6281,0.1281,0.1236,0.1772,1,0,0,1
RCP01086,Tokhum Badrung,Afghan,Snacks,Medium,Snack,1,1,1,1,4.3,232.0,5.7,13.1,6.7,4.9,7.1,336.0,10.0,6,39,20,27,1,1,1,1,1,low,1,1,1,1,0.6418,0.1925,0.1896,0.3342,1,0,0,1
RCP01087,Spanish Rice,Western,Rice Dishes,Medium,Dinner,0,0,0,0,3.8,431.0,10.5,46.0,13.0,5.0,4.7,355.0,60.0,8,41,31,12,1,1,1,1,1,medium,1,0,0,0,0.5065,0.3569,0.3513,0.5173,0,1,1,0
RCP01088,Zarda Pulao,Pakistani,Rice Dishes,Hot,Dinner,0,0,0,1,3.7,468.0,19.3,55.7,19.2,4.7,5.3,511.0,31.0,11,43,34,5,1,1,0,1,1,medium,1,0,0,0,0.4448,0.4533,0.4604,0.5985,0,1,1,0
RCP01089,Spring Roll,Indian,Indo-Chinese,Mild,Lunch,0,0,0,1,4.4,320.0,14.9,40.7,17.8,4.4,15.5,641.0,55.0,35,40,22,34,0,1,1,0,0,low,1,0,0,0,0.5212,0.3242,0.3319,0.4723,1,1,1,0
RCP01090,Celery Sticks,Western,Snacks,Medium,Breakfast,1,1,0,1,4.8,105.0,11.0,18.0,2.1,3.7,10.4,387.0,4.0,28,12,7,15,0,1,1,1,1,very_low,1,1,1,1,0.7089,0.1573,0.17,0.2725,0,0,0,1
RCP01091,Sindhi Biryani,Pakistani,Rice Dishes,Medium,Lunch,0,0,0,1,3.7,498.0,23.7,72.9,13.0,2.6,5.2,855.0,31.0,26,44,24,25,1,0,0,0,1,medium,1,0,0,0,0.425,0.5088,0.5216,0.57,0,1,1,0
RCP01092,Tomato Soup,Western,Appetizers,Mild,Snack,0,0,0,0,4.0,223.0,16.8,30.6,20.3,3.7,2.9,624.0,75.0,18,34,33,14,1,1,0,0,0,low,1,0,0,0,0.5407,0.2794,0.2954,0.4092,1,0,0,1
RCP01093,Nasi Goreng,Fusion,Rice Dishes,Mild,Dinner,1,0,0,1,3.7,436.0,20.5,52.4,7.0,3.4,6.5,698.0,22.0,13,27,6,30,1,1,1,0,1,medium,1,1,0,1,0.508,0.4433,0.4541,0.5807,0,1,1,0
RCP01094,Rose Milk,Indian,Beverages,Mild,Snack,1,0,0,1,4.7,177.0,3.4,14.5,7.9,2.7,8.0,157.0,14.0,30,17,13,9,1,1,1,1,1,very_low,1,1,0,1,0.6181,0.139,0.1351,0.2195,1,0,0,1
RCP01095,Poori,Indian,Bread,Hot,Breakfast,1,0,0,1,4.9,200.0,10.4,50.9,10.2,4.2,5.6,200.0,11.0,35,18,14,36,1,1,1,1,1,low,1,1,0,1,0.6228,0.2117,0.2183,0.3423,1,0,0,1
RCP01096,Qabili Uzbaki,Afghan,Rice Dishes,Medium,Lunch,0,0,0,1,4.4,338.0,34.9,47.6,6.1,4.1,1.4,724.0,85.0,11,37,10,28,1,1,0,0,1,low,1,0,0,0,0.5764,0.5021,0.5421,0.6768,1,1,1,0
RCP01097,Caprese Salad,Western,Appetizers,Hot,Lunch,0,0,0,0,4.5,130.0,19.6,25.0,14.2,6.2,10.5,351.0,45.0,19,29,7,10,0,1,1,0,1,very_low,1,0,0,0,0.6738,0.2446,0.2703,0.4377,0,0,0,1
RCP01098,Korean Samosa,Fusion,Appetizers,Very Hot,Lunch,1,1,0,0,4.8,237.0,15.0,15.1,8.7,7.7,8.0,210.0,39.0,23,13,5,6,1,1,1,0,1,low,1,1,1,1,0.6833,0.2731,0.2854,0.5005,1,0,0,1
